model,description
polo,"RED, 5 seats, 1996 Volkswagen Polo 1.6cl 5dr Estate ****12 MONTHS M.O.T**** Finished in sebring red with contrasting charcoal trim, electric  windows,sunroof,mirrors,central locking,power steering,sony stereo,very useful dual purpose vehicle.Superb Volkswagen reliability,Very Good fuel economy, lovely car throughout,2 owners. Well Maintained. 12 Months m.o.t. Open to any Inspection. Long Test drive offered. Part exchange welcome., £449"
500,"Metallic BLACK, Red Cloth interior, Electric Windows, In Car Entertainment. 4 seats, PRICE INCLUDING 12 months Warranty {no warranty available on part exchange & clearance cars], £3,993"
corsa,"Metallic FOREST GREEN, TAKEN IN PART EXCHANGE // PERFECT FIRST TIME CAR // CHEAP TO INSURE AND TAX //, Part service history, Good bodywork, Black Cloth interior - Good Condition, Tyre condition Average, Sunroof Manual, Computer, Electric Windows, In Car Entertainment. 5 seats, VERIFIED WARRANTED MILEAGE // FINANCE PACKAGES AVAILABLE. VIEWING STRONGLY RECOMMENDED. COME AND VISIT US AND VIEW OUR CARS IN OUR INDOORS SHOWROOM. FIVE DAY DRIVEAWAY INSURANCE CAN BE PROVIDED WITH AVIVA // VIEW OUR WEBSITE FOR MORE QUALITY USED CARS. ALL MAJOR CARDS ACCEPTED. WARRANTY AVAILABLE 3, 6,12 MONTHS BY WWW.RACWARRANTY.CO.UK, MaKiNg, BuYiNg A UsEd CaR, JuSt A SiMpLe HaNdShAkE...., £489 p/x welcome"
astra,"Electric front windows good condition good runner no MOT!, BLUE, 5 seats, £350"
polo,"Blue, Petrol, Manual, 16v DOHC, Starts and drives very good, Next MOT due 18/08/2015, Airbags, Alloy wheels, Electric door mirrors, Electric windows, Folding rear seats, Power steering, Radio, Sports seats, Sunroof, Central locking, Cloth Interior, ABS. 5 seats, Viewing by appointment, £650"
astra,"RED, Cheap run around, engine and gearbox are fine, Air-Conditioning, Electric Windows. 5 seats, Finance arranged, any inspections wecome, call to discuss any queries, £250"
500,"RED, IN CAR ENETRTAINMENT, WINDOWS MEMORY CARD, MULTI FUNCTION STEERING WHEEL, DRIVES 100% SPOT ON, HISTORY SHOWING 81K, CLEAN INSIDE AND OUT, DRIVES SUPERB, Next MOT due 30/03/2016, Service history, Clean bodywork, Interior - Excellent Condition, Tyre condition Good, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment. 4 seats, REQUIRES A LITTLE ATTENTION TO BODY WORK, ALL PREVIOUS MOT's, FIRST TO SEE WILL BUY, A WIDE RANGE OF FINANCE PACKAGES AVAILABLE, WARRANTY PACK AVAILABLE, ALL CREDIT AND DEBIT CARDS ACCEPTED, PART EXCHANGE WELCOME, A STUNNING EXAMPLE,THAT'S NOT TO BE MISSED... YOU CAN FIND US AT WILSDEN ROAD, SANDY LANE, BRADFORD, BD15 9AD... TELEPHONE 01274 497733 OR 07752459331 ANYTIME., OPENING HOURS MON TO SAT 10:00 TILL 18:00, SUNDAYS 11:00 WHILE 17:30, £3,650 p/x welcome"
focus,"BLACK, DRIVE AWAY INSURANCE AVAILABLE, OVER 500 CHEAP PX CARS IN STOCK FROM £299-£29,990, Next MOT due 07/01/2016, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, L.S.C PX SITE - OLD LIVERPOOL RD WA5 1BU, 01925633701, WWW.TRADECENTREWARRINGTON.CO.UK, £390"
corsa,"GREEN, Great Condition Inside & Out, Ideal First Car, Next MOT due 28/08/2015, Clean bodywork, Interior - Clean Condition, Tyre condition Good, Air-Conditioning, Alarm, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, Part exchange welcome, Hpi clear, AA/RAC inspection welcome, all major credit/debit cards accepted, Experian auto check clear, £490 ono"
focus,"GREEN, GENUINE LITTLE PX CAR,, DRIVES FAULTLESS, MOT., Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, HPI CLEAR..2 KEYS... PX POSS, £495"
focus,"GOLD, TRADE CARS NORTHWICH LTD CW97DR CALL 07880350295 / 07760670682, Upgrades - Metallic paint, Cloth trim, Standard Features - 6x15 alloy wheels, Electric front windows, One touch open on drivers window, Stereo radio/cassette model 4000N/4 speakers, Sports style front seats, Remote control central/double locking, Immobiliser-Passive Anti-Theft System (PATS), Driver's seat height adjustment. VISIT OUR WEBSITE WWW.TRADECENTREWARRINGTON.CO.UK, £490"
focus,"SILVER, Cambelt & Water pump changed, New Clutch with receipts, MOT May 2016, 2 Keys, currently taxed, Full Service History,, Upgrades - CD Player, All windows electric, Standard Features - Air-Conditioning, In Car Entertainment. 5 seats, Noisy Engine hence low price, besides that it drives very nice., HPI Clear, Warranty and Delivery options available, test drives welcome,Debit Cards accepted, £450"
golf,"BLUE, 5 seats, 5 doors, 5 seats, 2 former keepers, Mot'd till Aug 2015 with NO ADVISORY NOTES on it, part service history ( 9 VW main dealer's stamps and 1 private garage ), Experian auto check CLEAR i.e. NO outstanding finance, NOT written off etc. with REPORT, Bodywork is not clean, Please go through all the photos, One of rear door is stuck (does not open), Part exchange possible at trade value; please email your cars full registration no, mileage, colour and how much you want for it, All major Debit and credit cards are accepted for payment subject to a charge, Open 7 days a week, Please ring us an hour before you come to arrange viewing,, £395"
polo,"Rosso Red, MOT LATE JULY 2015, HPI CLEAR, FULL SERVICE HISTORY, EXCELLENT CLEAN BODYWORK, IMMACULATE INTERIOR, DRIVES SUPERBLY, CHEAP INSURANCE & TAX, 5 seats, great tyres, electric mirrors, excellent MPG, spare wheel and tool kit, rear wash/wipe, WILL REQUIRE CLUTCH REPLACMENT 9CAN STILL BE DRIVEN), We are a main dealership group trade department and this is a genuine part exchange from one of our sites. Please call for any details., £290"
corsa,"BLUE, very good condition drive very nice cambelt been done low mileg, Next MOT due 27/05/2016, Full service history, Good bodywork, Interior - Good Condition, Tyre condition Good, Airbags, Central locking, Sunroof. £500"
500,"REDUCED FOR QUICK SALE 2010 YELLOW , CHEAPEST LOUNGE WITH PANORAMIC ROOF IN THE MARKET, Blue and Me with USB port, Dualdrive PAS, MP3 compatible radio/single CD player, Chrome pack , PANORAMIC ROOF, ALLOY WHEELS, START/STOP CITY DRIVE OPTION.- 500. 4 seats, YELLOW, 2 owners, Full service history, Electric windows, Air conditioning, MP3 player, CD player, Height adjustable driver's seat, Height adjustable passenger seat, Alloy wheels, Spare wheel (Full), Power steering, Steering wheel rake adjustment, Cruise control, Traction control, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 4 seats, £4,395"
astra,"MOT just expired (4th May 2015)., BLUE, 5+ owners, Part service history, Electric windows, Air conditioning, CD player, Spare wheel (Space-saver), Power steering, Central locking, Driver's airbags, Passenger airbags. 5 seats, £300"
golf,"Metallic Blue, MOT March 2016. Age related marks, runs and drives, cheap tax and insurance bracket.  Steel tyre on passenger side has been replaced now with alloy and new tyre, Upgrades - Lumbar Support, Rear Head Restraints, Black Cloth interior, Standard Features - Electric Windows, In Car Entertainment, 3x3 point rear seat belts, Alarm, Alloy wheels, Child locks & Isofix system, Electric windows, Electric door mirrors, Central locking, Airbags, Height adjustable drivers seat, Lumbar support, Power steering, Traction control, Immobiliser, Folding rear seats. 5 seats, This car will require a new throttle cable as it is stretched. Does run and drive! Our Vehicles are sold at Trade Sale Prices. Viewing is always recommended on vehicles and we encourage customers to test drive whether you buy from ourselves or not., ++ Part Exchange Welcomed ++, £450 p/x welcome"
corsa,"Tested while April 16 just had new exhaust. new clutch fitted in September 15. Comes with private plate been offered four hundred pound for it on regtransfers got cd player 4 good tyres ideal 1st car, BLUE, CD player, Folding rear seats, Spare wheel (Full). 5 seats, £500"
corsa,"Vauxhall Corsa - 1995 - 1.2 LS 0nly 2 owners from new with 72910 miles. , , This has been owned for the last 12 years and has spent a lot of it garaged due to working in London. It has been regularly serviced and MOT'd and would be an ideal first car. It has been very reliable apart from a new battery which has just been fitted. All of the tyres have plenty of tread left. There is a remote control Sony CD which has been added, but otherwise completely standard. This car has also been owned by non smokers and was originally bought at a car boot sale. No canvassers please. Genuine reason for sale., BLUE, 2 owners, Next MOT due 25/08/2015, Part service history, £495"
corsa,"11 Month MOT. VERY VERY GOOD RUNNER. LOOKS AND DRIVES ABSOLUTELY FANTASTIC. Very economical cheap runaround car  Full service history. Nearly brand new tyres recently fitted. Absolute bargain for only 475 ono., SILVER, 5 seats, £475"
astra,"RED, No offers, No timewasters. Call york 01904 622277, Air-Conditioning, Electric Windows. 5 seats, £195"
polo,"RED, SOLD SOLD SOLD. Please contact Steve at the sales team on 07850074289 or view www.ryepecktrading.co.uk, Next MOT due 12/02/2016, 5 seats, Part exchange. This small vw polo is mechanically excellent drives superb and the clutch and gearbox are excellent.  Regards to bodywork she has seen better days this is reflective in the purchase price. ideal restoration project body why or just perfect for running around.  no mechanical fault and please no foolish offer . Contact max at Whitstable motor trading on 07948464723, £450"
fiesta,"RED, MOT UNTIL OCTOBER, Alarm, In Car Entertainment. 5 seats, £395"
polo,"Metallic BLUE, PRICED TO SELL, EXHAUST BLOWING BUT MAKE A CHEAP FIRST CAR, Next MOT due 09/02/2016, 5 seats, MDM Motor Group opening hours: Monday to Friday 9am til 7pm Saturday 9.30am til 5pm Sunday 9.30am til 4pm. More info tel 0113 2422600 mob 07752074603. Over 100 Sports, Prestige, People carriers and Diesels instock on our website with stock changing daily. Visit www.mdmmotorgroup.co.uk. MDM Motor Group, BROOKFIELD STREET, HUNSLET, LEEDS, LS10 1JX, OPPOSITE THE COSTCO CASH AND CARRY ON HUNSLET ROAD, £395 p/x welcome"
corsa,"BLUE, CALL ON 07703388520 FOR MORE INFO, Sunroof Manual, In Car Entertainment. 5 seats, 10, TAVISTOCK STREET, DUNSTABLE, OPPOSITE TESCO PETROL STATION LU6 1NE # 07535422049/07703388520, £399 p/x welcome"
corsa,"GREY, CHEAP INSURANCE, £495 px to clear! NO offers NO timewasters , P REG / 1997 , MOT TILL 14th JAN 2016, TAX 1ST SEPT 2015 (NON TRANSFERRABLE), GENUINE 95K MILES – VERIFIED BY VOSA CHECK AND PREVIOUS MOT RECORDS , 5 DOOR HATCHBACK, AUTOMATIC AUTO, ALARM IMMOBILISER, GOOD TYRES, SILVER COLOUR CODED  BODYWORK , POWER STEERING , RECENT NEW EXHAUST, 4 PREVIOUS OWNERS , GREAT FIRST CAR OR RUN AROUND CHEAP INSURANCE, FUEL, TAX ETC, , FULL V5C REGISTRATION DOCMUNENT/ LOGBOOK PRESENT, Located in Stamford Hill London n16. , , Seven sisters/ Manor house (both 10 mins away). Nearest Overground is Stoke Newington (a 5 min walk) which is a 10 mins by train from London Liverpool Street. , , *Altho trade cars are working, we do not know the history nor have road tested them to ascertain defects (major or minor). Vehicles are not mechanically inspected. , PRIVATE BUYERS: For satisfaction pottential buyers encouarged to bring own qualified mechanic for inspection.  TRADE PRICES (not retail) SO TRADE SALE TERMS ONLY. NO WARRANTY, will be sold as spares and repair and unroadworthy, no matter how good the condition your mechanic says it is. if you want a warranty - pay the forecort retail for the particular vehicle and you will be given one. Please do not to expect a vehcile sold to you way under private value and then receive services of a car bought at a substansively higher price from a showroom!, £495 p/x considered"
corsa,"GREEN, LAST OWNER FOR 14 YEARS, Grey Cloth interior, £450 p/x to clear"
fiesta,"New front brake discs & pads, CAM Belt less than a year old, new rear shock absorber, new battery with 18 months warranty remaining., BLUE, 4 owners, Next MOT due 08/05/2016, No service history, Manual sunroof, Height adjustable driver's seat, Folding rear seats, Spare wheel (Full), Driver's airbags, Passenger airbags. 5 seats, £375"
polo,"GREEN, HPI GOLD REPORT, GENIUINE LOW MILES, POWER STEERING WHEEL, ALLOY WHEELS, LONG MOT, Next MOT due 18/06/2015, Part service history, SUPER ECONOMICAL/INSURANCE FRIENDLY VW POLO 1.4 CL, ALPINE GREEN METALLIC, GENUINE 81061 MILES WITH SERVICE HISTORY, 1KEY, PAS WITH SRS SAFETY AIRBAGS, RADIO/CD, CLOTH INTERIOR WITH HEAD RESTRAINTS, RADIO/CD, 5 SPEED MANUAL, ELECTRIC WINDOWS/ELECTRIC MIRRORS, AIR CONDITIONING, 5 SPEED MANUAL, COLOUR CODED EXTERIOR, ALLOY WHEELS WITH GO0D TYRES, FRONT FOGS, MOT JUNE 2015, MAIN DEALER PART EX TO GO, LOOKS DIRVEW  AL. REDBROOK MOTOR COMPANY, CRAWFORD ST, ROCHDALE, OL16 5RS, PROVIDING COMPETITIVELY PRICED USED VEHICLES MATCHED WITH A QUALITY AND PERSONAL SERVICE, ALL VEHICLES ARE MAIN DEALER PART EX CARS SOURCED PERSONALLY AND BOUGHT WITH THE UTMOST CARE AND ATTENTION. VISIT OUR WEBSITE TO VIEW THE RANGE OF CARS ON OFFER ON WWW.REDBROOKMOTORS.CO.UK OR CONTACT US ON 01706 340444, HAND PICKED, MAIN DEALER PART EX CARS TO BUY FROM THE LEADING CAR SUPPLIER IN ROCHDALE, LANCASHIRE, £700"
500,"White, Air Conditioning, Bluetooth, Sunroof, Multi-function Steering Wheel, ABS, Air Bag, Side Air Bags, Central Locking, Remote Central Locking, Electric Front Windows, Automatic Electric Windows, Electric Mirrors, Isofix, Power Steering, Stability Control, Traction Control, Trip Computer, CD Player, Radio, Stereo, Head Restraints, Folding Rear Seats, Rear Headrests, 15'' Alloys. 4 seats, CSubject to conditions. Chrome pack - 500, Front passenger underseat box, Glovebox with lid. We are located in the heart of Canterbury, on the Broad Oak Road, with easy access to A2, M2 & M25 just 40 mins from London.  For Used Mini in Canterbury, Used Audi in Canterbury, Used Volkswagen in Canterbury, Used Fiat in Canterbury, Used BMW in Canterbury, Out of hours contact 07591 545123., For more photos, vehicle documents and the HPI certificate go to bigmotoringworld.co.uk Visit us in person and compare lots Minis side by side all in one place., £4,500"
corsa,"SILVER, THIS LITTLE MOTOR DRIVES EXCELLENT, BUT HAS BEEN DAMAGED DON ONE SIDE, SO WERE LETTING HER GO FOR  A BARGAIN £500, Alloy Wheels, Electric Windows. 5 seats, SOLD FOR SPARES OR REPAIRS, CAR HAS MOT UNTIL NOVEMBER 2015, WILL DRIVE AWAY AND CAN BE USED AS A RUN AROUND ONLY NEEDS A WING MIRROR, ENGINE IS IN EXCELLENT CONDITION, AND DRIVES GREAT, ALL MAJOR CREDIT AND DEBIT CARDS ACCEPTED, CALL FOR MORE DETAILS., WE SELL WELL MAINTAINED CARS, £500"
500,"white, Fantastic Condition, Only 1 Previous Keeper, 12 Months MOT. Finished in The Best Colour. Superb Specification, lots of Optional Extras., Upgrades - Windows USB Input, Start/Stop Technology, 2 Keys, Book-Pack and Manuals, Blue and Me Voice, Next MOT due 12/05/2016, Service history, Excellent bodywork, Cloth interior - Excellent Condition, Tyre condition Good, Standard Features - Air-Conditioning, Start/Stop System, Alloy Wheels, Electric Windows, In Car Entertainment, Telephone Equipment. 4 seats, GREAT FINANCE TERMS AND RATES AVAILABLE. HPI AND EXPERIAN CLEAR. 6 TO 24 MONTH WARRANTIES AVAILABLE. ALL MAJOR DEBIT AND CREDIT CARDS ACCEPTED. PLEASE CALL THE SALES OFFICE ON 02477 676844 FOR AVAILABILITY OR ANY FURTHER INFORMATION., VIEWINGS BY APPOINTMENT, £4,495 p/x welcome"
golf,"Vw golf 3dr silver 2002 2.0 petrol for sale,, M.O.T January 2016 126,000 Miles , New water pump and cam belt fitted about 8,000 miles ago, Tatty with bumps dents and scratches, no rust, drivers seat is a bit worn but good condition inside , Very reliable, has driven amazingly well everyday for the last 3 years, All good tyres on the car but needs new spare, SILVER, Electric windows, Air conditioning, CD player, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Power steering, Alarm, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £550"
focus,"Great little runner, few bumps and scrapes on corners as can be seen from pictures, engine management light on due to faulty sensor (brand new sensor included with car) Pioneer Cd/mp3/aux player. Recently had all new electrics. Starts and runs fine every time, GREEN, Electric windows, MP3 player, CD player, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Spare wheel (Full), Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £450"
fiesta,"BLACK, FRONT DAMAGE, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £375"
polo,"BLACK, FOR SPARES OR REPAIR ONLY, Next MOT due 15/10/2014, 6Jx14 Solitude alloys, Electric front windows, Central locking, Height adjustable steering column, Sony XR3759 radio/cassette, Front sports seats/recline/height adjustment, Electric heated + adjustable door mirrors, Engine immobiliser. ---- MORE CHEAP CARS, AVAILABLE @--www.tccarsales.co.uk--------- OPEN MONDAY TO FRIDAY 9.00 AM,TILL 3.00 PM, ,---------- ALL CARS OFFERED 'FIRST COME,FIRST SERVED ' NO CARS RESERVED----------,WE ARE CLOSED ON SUNDAYS----------, -,, Please CALL or TXT  07557 900739 out of opening hours , Sorry we do not take offers on our cars, £175 p/x considered"
500,"Low mileage, Clean car,, RED, Electric windows, Air conditioning, CD player, Folding rear seats, Alloy wheels, Power steering, Alarm, Driver's airbags, Side airbags, Passenger airbags. 4 seats, £4,550"
500,"White, 2 owners, FINISHED IN STUNNING WHITE WITH CHECKERED BLACK AND WHITE ROOF WITH UNMARKED HALF INTERIOR WITH COLOR CODED WHITE TRIM WITH CHROME INTERIOR AND EXTERIOR FINISHING LOOKS SUPERB, ONLY COVERED A WARRANTED 34000 MILES, CITY DRIVE MODE, MP3 PLAYER, CD PLAYER, E WINDOWS, E MIRRORS, ALARM AND IMMOBILISER, REMOTE CENTRAL LOCKING, ADJUSTABLE STEERING WHEEL COLUMN, MOT UNTIL MARCH 2015 ALSO HAVE RECORD OF ALL OLD MOTS TO WARRANT MILES, RECORDED AS CAT D WHICH MEANS VEHICLE HAD VERY LIGHT PANEL DAMAGE THAT HAS BEEN PROFESSIONALLY REPAIRED WITH NO SIGNS OF DAMAGE. 4 seats, Please click on the Dealers Website link to view more details and larger photos, *Low Rate Finance Available*, £4,490"
polo,"WHITE, Electric Windows, In Car Entertainment. 5 seats, £689"
polo,"GREY, 5 seats, Grey, Manuel, Petrol, Cheap Insurance & Tax, Central Locking, Electric Windows, Electric Door mirrors, MOT until 28 OCT 2015, Service invoices, Spare keys With Remote, Genuine Mileage, 1 Former keeper, Former keeper, Power steering, ABS, Air bags, Immobilizer/alarm, Folding rear seats, Headrest, Cloth Trim, Superb Drive, No any problem, Ideal first car., £445 ovno"
corsa,"RED, Next MOT due 25/01/2016, In Car Entertainment. 5 seats, £295"
500,"BLACK, 3 months warranty, Next MOT due 24/03/2016, Full service history, Excellent bodywork, Interior - Excellent Condition, Tyre condition Excellent, Electric Windows, In Car Entertainment. 4 seats, Experian auto check clear, £3,895 p/x welcome"
golf,"SILVER, LIGHT FRONT DAMAGE, Adjustable Steering Column/Wheel, Air Bag Driver, Air Bag Passenger, Air Bag Side, Alarm, Alloy Wheels, Central Door Locking, Computer, Electric Windows, Electronic Stability Programme, Head Restraints, Immobiliser, In Car Entertainment, Mirrors External, Power-Assisted Steering, Seat Height Adjustment, Spare Wheel, Speakers, Traction Control System, Upholstery Cloth. CLICK LINK ABOVE TO VIEW 500 SIMILAR DAMAGED VEHICLES, £395"
500,"Fiat 500 1.3 2009 Pop Multijet Diesel Blue 3 Door Low Mileage, Very Good Condition, Road Tax Till December, BLUE, 2 owners, Next MOT due 18/12/2015, Full service history, Electric windows, CD player, Folding rear seats, Power steering, Steering wheel reach adjustment, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 4 seats, £4,175"
astra,"BLUE, Electric Windows, In Car Entertainment. 5 seats, £390"
fiesta,"WHITE, POWER STEERING,3 DOOR,75000 MILES,MOT JULY 1ST,FREE LIFE MOT!!!, Next MOT due 01/07/2015, Clean bodywork, Cloth interior - Clean Condition, Tyre condition Good, In Car Entertainment. 5 seats, CLEAN CAR IN GOOD CONDITION,DRIVES GREAT!!!, QUALITY USED CARS AT AFFORDABLE PRICES!!!, £395"
focus,"GREEN, ++ 6 MONTHS MOT ++, Air-Conditioning, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, LOOKS AND DRIVES WELL FOR AGE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £290 p/x considered"
fiesta,"BLUE, Blue, MOT failure, Part exchange to clear, Drives, Previously used daily, Excellent for spares/Metal, Can be delivered at cost, New keeper supplement/Trade section of V5 only, No offers, MOT number 739725445112, £125 ono"
focus,"BLACK, COMES WITH MOT 12/12/2015. CAMBELT CHANGED AT 95K. FULL SERVICE HISTORY 9 SERVICE STAMPS. ALLOY WHEELS. A/C. 2 PREVIOUS OWNERS, Next MOT due 12/12/2015, Service history, Good bodywork, Interior - Good Condition, Tyre condition Good, Air-Conditioning, Electric Windows, In Car Entertainment. 5 seats, NICE FAMILY CAR RUNS SMOOTH. CLEAN CONDITION, WE HAVE OVER 100 CARS IN STOCK. WE ACCEPT ALL MAJOR CREDIT/DEBIT CARDS.UNIT 7B FRENCH'S AV. LU61BH, £499 p/x welcome"
500,"An excellent and reliable car, one lady owner, new tyresThis is a bargain and lovely car-  Last serviced October 2014 and Mot till October 2014. genuine miles, well looked after, hand washed to maintain good paintwork. £30 road tax - Almost 60 mpg, Alloys - USB Connectivity - Handsfree calling - Fiat Blue-Me technology, Blue and Me with USB port, Dualdrive PAS, MP3 compatible radio/single CD player, 4 seats, WHITE, Air conditioning, CD player, Alloy wheels, Power steering, Central locking, Alarm, Immobiliser, Driver's airbags. 4 seats, £4,500"
golf,"Metallic SILVER, AUTOMATIC GEARBOX HAS SERIOUS FAULT,, Grey Velour interior, Alarm, Computer, Electric Windows, In Car Entertainment. 5 seats, £295"
astra,"Vauxhall Astra Club 2001, In good condition., Color: Light Blue, Mileage: 98000, Fuel: Petrol, MOT due 09/12/2015, Car Ownership since 2007, BLUE, 3 owners, Next MOT due 09/12/2015, Folding rear seats, Spare wheel (Full), Central locking, Driver's airbags, Passenger airbags. 5 seats, £300"
500,"Solid RED, FREE 2 YEAR SERVICING WITH THIS VEHICLE, Upgrades - Auto Climate Control, Auto Climate Control (POP), Leather, Leather Gear Knob, Split Folding Rear Seat with Head Restraints, Alloy Wheels 15in 185/55 (Sport), Body Col. Side Rubbing Strips with Space for Badge, Special Paint, Side Stripe, Black Full leather interior, Standard Features - Electric Windows, In Car Entertainment, Air conditioning, Airbags, Alarm, Alloy wheels, CD Player, Central locking, Electric door mirrors, Electric windows, Folding rear seats, Leather seats, Lumbar support, Power steering, Radio, Remote central locking, Traction control, Sports seats, Immobiliser. 4 seats, £4,590 p/x welcome"
focus,"No MOT, tax until 30/06/2015, car has a cracked radiator but still runs. car has patches of rust around wheel arches, interior is in good condition, the car has 4 alloy wheels and 4 new tyres. There are previous MOT advisories see image., BLACK, 4 owners, Part service history, Electric windows, Central locking. 5 seats, £250"
focus,"SILVER, , BROKEN FRONT ROADSPRING , hence price, Next MOT due 09/05/2015, Adjustable Steering Column/Wheel, Air Bag Driver, Air Bag Passenger, Alloy Wheels, Central Door Locking, Deadlocks, Electric Windows, Head Restraints, Immobiliser, In Car Entertainment, Mirrors External, Power-Assisted Steering, Seat Height Adjustment, Self-Levelling Suspension, Spare Wheel, Speakers. Please CALL or TXT  07557 900739 out of opening hours , Sorry we do not take offers on our cars, £495 p/x considered"
golf,"BLACK, Next MOT due 06/09/2015, Part service history, SOLD AS SPARES AND REPAIRS, PART EXCHANGE TO CLEAR, NO WARRANTY GIVEN OR IMPLIED. 5 seats, We are a family run business established for over 20 years. More cars on www.jasoncars.co.uk., £550 ono"
500,"BLACK, ONLY £30 ROAD TAX., 3 months warranty, Next MOT due 18/05/2016, Full dealership history, Electric Windows, In Car Entertainment, Remote central locking, Electric door mirrors, CD Player. 4 seats, If you are looking for something similar, please contact us, as our stock changes on a daily basis. More stock available on our website, please check first for availability., It comes with multi point pre sales safety check, full HPI clearance and comprehensive warranty., £4,190 p/x considered"
corsa,"BLUE, Manual sunroof, CD player. 5 seats, £350"
focus,"A very well kept and maintained car, drives very well and smoot,  FULL SERVICE HISTORY selling it as iam lookking for an automatic as i am a skip driver i cant drive a manuel any more, BLUE, Electric windows, Air conditioning, CD player, Height adjustable driver's seat, Height adjustable passenger seat, Folding rear seats, Child seat points (Isofix system), Metallic paint, 19"" Alloy Wheels, Power steering, Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 5 seats, £399"
corsa,"RED, 5 seats, THIS CORSA IS AN IDEAL FIRST CAR BEING JUST A 1 LITRE. THE CAR HAS COVERED LESS THAN 80K AND IS SUPPLIED WITH A LONG MOT UNTIL MARCH 2016., WE HAVE MANY MORE CARS UNDER 2000 POUNDS, VISIT OUR WEBSITE FOR FULL STOCK  ** CALL 0117 9670923**, £500 p/x welcome"
golf,"RED, Here at MMC, All of our vehicles are sourced using our combined 30 year experience and all carry a standard 3 month warranty. Finance packages are available on most vehicles, You can inquire about any vehicle via Phone, email or you can come down no appointment necessary. Part exchange is available on any vehicle and we will beat any genuine quote from webuyanycar or similar cash for car scheme. Holding or viewing deposits can be left at anytime, Don't delay and call now to arrange your next car with us., £495 p/x welcome"
500,"Metallic Met Silver, 2 owners, Service History, Full Leather, Air Conditioning, Electric Front Windows, Electric Mirrors, Bluetooth, Power Steering, iPod Connectivity, Central Locking, Immobiliser, Remote Central Locking, Height Adjustable Seat, Folding Rear Seats, Rear Headrests, Adjustable Steering Column, Trip Computer, Twin Air Bags, Metallic Paintwork, CD Player, Radio, We provide an Inclusive Parts & Labour Guarantee, Extended Guarantees are Available, Balance of Manufacturers Warranty (t & c's  apply), Service history. 4 seats, Click on dealer 'VISIT WEBSITE' link for many more large photographs of this car. We are a West Sussex Trading Standards Approved 'Buy with Confidence Dealership', West Sussex Trading Standards 'Approved Buy with Confidence Dealership', £4,500"
polo,"Stylish, ideal first car. No tax or MOT, currently off road due to having no need for the car anymore. Comes with new spare battery, driver side window doesn't work but is an easy fix at a garage. Viewing is recommended., BLUE, Full service history, Folding rear seats, 17"" Alloy Wheels, Driver's airbags. 5 seats, £300"
astra,"BLUE, Starts and Drives, Misfire Hence Price, Sold as Spares or repairs, Electric Windows. 5 seats, All Major Debit Cards Accepted, Finance Available, £250 p/x considered"
500,"WHITE, FULL SERVICE 3 MONTH WARRANTY, NEW SERVICE, MOT, 2 KEYS, Next MOT due 01/03/2016, Service history, Clean bodywork, Interior - Clean Condition, Electric Windows, In Car Entertainment, Alloy wheels, CD Player, Central locking, Airbags, Alarm, Parking aid, Power steering, Radio, Remote central locking, Immobiliser, Electric windows. 4 seats, PICK UP FROM 4 LOCAL STATION NORTH ACTON STATION WEMBLEY STATION, PARK ROYAL STATION AND STONEBRIDGE STATION,NO ADMIN FEE***FREE DELIVERY UP TO 20 MILE***ALL MOJOR CREDIT AND DEBT CARDS PAYMENT WELCOME***PART EXCHANGE WELCOME***OPEN 7 DAYS***MORE QUALITY USED CARS JUST VISIT WWW.WHEELSDEALS.CO.UK***3,6,12 AND 24 MONTH WARRANTY PARTS AND LABOUR AVAILABLE, Wheels Deals LTD, Competitive & Reliable. Visit our website for more choices www.wheelsdeals.co.uk, £4,495 inc VAT"
